Review ID,Topic 0,Topic 1,Topic 2,Topic 3,Topic 4
54,0.5998842,0.100028485,0.10003004,0.10002813,0.10002915
55,0.100029424,0.10002864,0.100030206,0.10002826,0.5998835
56,0.10002942,0.100028634,0.1000302,0.10002827,0.5998835
57,0.10002832,0.100027554,0.59988874,0.100027196,0.1000282
58,0.100029424,0.10002863,0.1000302,0.10002827,0.5998835
59,0.59988415,0.1000285,0.10003005,0.10002813,0.100029156
60,0.10002829,0.10002755,0.5998888,0.10002719,0.100028194
61,0.10002941,0.10002862,0.1000302,0.100028254,0.5998835
62,0.100028306,0.10002757,0.59988874,0.100027196,0.1000282
63,0.10003031,0.59987926,0.10003111,0.10002911,0.100030184
64,0.10003082,0.10002999,0.10003163,0.5998769,0.10003069
65,0.10003029,0.5998793,0.1000311,0.100029096,0.100030184
66,0.5998842,0.100028485,0.10003003,0.10002812,0.10002915
67,0.10002942,0.100028634,0.1000302,0.10002826,0.5998835
68,0.5998842,0.10002849,0.10003004,0.10002813,0.100029156
69,0.10003028,0.5998793,0.100031085,0.100029096,0.10003016
70,0.10002942,0.100028634,0.100030184,0.10002825,0.5998835
71,0.10002942,0.10002864,0.1000302,0.10002826,0.5998835
72,0.10003029,0.5998794,0.100031085,0.10002909,0.10003017
73,0.100030296,0.59987926,0.100031115,0.10002912,0.10003018
74,0.1000308,0.10003,0.10003164,0.5998768,0.1000307
75,0.59988415,0.1000285,0.10003006,0.10002813,0.100029156
76,0.59988415,0.1000285,0.10003004,0.10002813,0.10002915
77,0.10003082,0.10002998,0.10003162,0.5998769,0.100030676
78,0.10003082,0.10003,0.10003163,0.5998769,0.100030705
79,0.100028306,0.10002755,0.59988874,0.10002719,0.1000282
80,0.10002941,0.10002863,0.10003018,0.10002825,0.59988356
81,0.10003082,0.10003,0.10003164,0.5998768,0.1000307
82,0.100030296,0.5998793,0.1000311,0.1000291,0.10003018
83,0.10002829,0.10002755,0.59988874,0.10002719,0.100028194
84,0.100030825,0.100030005,0.100031644,0.5998768,0.100030705
85,0.10003031,0.59987926,0.100031115,0.100029126,0.100030184
